packed_key,from_node_id,to_node_id,qvdf_start_speed_mph_am,qvdf_end_speed_mph_am,qvdf_start_speed_mph_md,qvdf_end_speed_mph_md,qvdf_start_speed_mph_pm,qvdf_end_speed_mph_pm,baseline_anchor_source,stage2_anchor_source,baseline_qvdf_start_speed_mph_am,stage1_assignment_qvdf_start_speed_mph_am,baseline_qvdf_end_speed_mph_am,stage1_assignment_qvdf_end_speed_mph_am,baseline_qvdf_start_speed_mph_md,stage1_assignment_qvdf_start_speed_mph_md,baseline_qvdf_end_speed_mph_md,stage1_assignment_qvdf_end_speed_mph_md,baseline_qvdf_start_speed_mph_pm,stage1_assignment_qvdf_start_speed_mph_pm,baseline_qvdf_end_speed_mph_pm,stage1_assignment_qvdf_end_speed_mph_pm
151968827869750,35383,35382,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151968827869752,35383,35384,63.0,63.0,63.0,58.70085,58.70085,54.4017,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,57.9089,58.70085,57.9089,58.70085,52.8178,54.4017
151973122837049,35384,35385,63.0,63.0,63.0,58.7026,58.7026,54.4052,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,57.9089,58.7026,57.9089,58.7026,52.8178,54.4052
151977417804346,35385,35386,63.0,63.0,63.0,58.4844,58.4844,53.9688,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,57.9089,58.4844,57.9089,58.4844,52.8178,53.9688
151981712771643,35386,35387,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151986007741598,35387,38046,64.228264,64.99088,64.99088,65.182175,65.182175,64.43152,actual,actual,64.228264,60.1326,64.99088,60.47215,64.99088,60.47215,65.182175,58.94495,65.182175,58.94495,64.43152,57.0782
151990302705958,35388,35110,63.46554,62.939564,62.939564,63.564774,63.564774,63.32522,actual,actual,63.46554,59.5474,62.939564,60.1767,62.939564,60.1767,63.564774,59.97645,63.564774,59.97645,63.32522,59.1469
151990302706237,35388,35389,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151994597673534,35389,35390,57.3063,60.15315,60.15315,63.0,63.0,63.0,assignment,stage1_assignment_speed_mph,52.6285,57.3063,57.81425,60.15315,57.81425,60.15315,63.0,63.0,63.0,63.0,63.0,63.0
151998892640831,35390,35391,57.5805,60.29025,60.29025,63.0,63.0,63.0,assignment,stage1_assignment_speed_mph,52.6285,57.5805,57.81425,60.29025,57.81425,60.29025,63.0,63.0,63.0,63.0,63.0,63.0
152003187608129,35391,35393,57.5799,60.28995,60.28995,63.0,63.0,63.0,assignment,stage1_assignment_speed_mph,52.6285,57.5799,57.81425,60.28995,57.81425,60.28995,63.0,63.0,63.0,63.0,63.0,63.0
152007482575425,35392,35393,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
152007482575426,35392,35394,65.24261,64.32913,64.32913,65.81142,65.81142,64.345,actual,actual,65.24261,56.493,64.32913,58.23405,64.32913,58.23405,65.81142,58.9846,65.81142,58.9846,64.345,57.9941
152011777542723,35393,35395,56.4329,59.71645,59.71645,63.0,63.0,63.0,assignment,stage1_assignment_speed_mph,50.7258,56.4329,56.8629,59.71645,56.8629,59.71645,63.0,63.0,63.0,63.0,63.0,63.0
152016072509914,35394,35290,65.24261,64.32913,64.32913,65.81142,65.81142,64.345,actual,actual,65.24261,56.3872,64.32913,58.18125,64.32913,58.18125,65.81142,58.9849,65.81142,58.9849,64.345,57.9945
152016072510278,35394,35654,40.0,40.0,40.0,40.0,40.0,40.0,assignment,stage1_assignment_speed_mph,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
152020367477314,35395,35394,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
