packed_key,from_node_id,to_node_id,stage2_anchor_source,period,qvdf_start_speed_mph,qvdf_end_speed_mph,boundary_status
1125281453121,262,21569,stage1_assignment_speed_mph,PM,16.97385,16.9694,both
1125281453136,262,21584,stage1_assignment_speed_mph,PM,16.9736,16.9633,both
1129576420018,263,21170,stage1_assignment_speed_mph,PM,22.95385,22.9466,both
1129576420419,263,21571,stage1_assignment_speed_mph,PM,22.9916,22.9903,both
1129576420643,263,21795,stage1_assignment_speed_mph,PM,22.96945,22.9669,both
1133871387173,264,21029,stage1_assignment_speed_mph,PM,22.9624,22.9613,both
1138166354651,265,21211,stage1_assignment_speed_mph,PM,16.75945,16.7089,both
1142461322313,266,21577,stage1_assignment_speed_mph,PM,16.92845,16.9099,both
1142461322317,266,21581,stage1_assignment_speed_mph,PM,16.99705,16.9945,both
1142461322318,266,21582,stage1_assignment_speed_mph,PM,16.8254,16.783,both
1146756289104,267,21072,stage1_assignment_speed_mph,PM,16.99985,16.9998,both
1146756289105,267,21073,stage1_assignment_speed_mph,PM,16.9496,16.9401,both
1146756289609,267,21577,stage1_assignment_speed_mph,PM,16.9611,16.9509,both
1151051256399,268,21071,stage1_assignment_speed_mph,PM,16.9772,16.9717,both
1151051256400,268,21072,stage1_assignment_speed_mph,PM,16.99985,16.9998,both
1151051256980,268,21652,stage1_assignment_speed_mph,PM,16.97015,16.9619,both
1151051256981,268,21653,stage1_assignment_speed_mph,PM,16.996,16.9952,both
1155346223659,269,21035,stage1_assignment_speed_mph,PM,16.95505,16.9444,both
1155346223661,269,21037,stage1_assignment_speed_mph,PM,16.93825,16.9256,both
1155346224599,269,21975,stage1_assignment_speed_mph,PM,17.0,17.0,both
1159641190334,270,20414,stage1_assignment_speed_mph,PM,16.9846,16.9769,both
1159641190950,270,21030,stage1_assignment_speed_mph,PM,16.9828,16.9751,both
1163936158247,271,21031,stage1_assignment_speed_mph,PM,16.9271,16.8926,both
1163936158248,271,21032,stage1_assignment_speed_mph,PM,16.89235,16.8675,both
